Model,R2,R2 (log scale),MAE,MAPE,MdAPE
Linear Regression,0.6901281619535953,,332997.89162195154,0.30350590377320363,0.21976870098964588
Log-transformed Linear Regression,0.611389274511013,0.814680574948026,285860.28077487816,0.20288349433394878,0.14653450184862862
Decision Tree (depth 15),0.7577472441846966,,239686.7370862877,0.1813674923539043,0.11826928937280268
"Random Forest (100 trees, depth 15)",0.856808941603097,,197695.08907899508,0.15756125182401784,0.10229483096623915
XGBoost (tuned),0.8850716638956508,,167793.3532662899,0.1269818518228689,0.08484459637268849
LightGBM (tuned),0.8867864213358116,,180152.0101787562,0.1449391708557104,0.10320645087198368
